# source: pvgis_fetch
hour,solar_kw_per_kwp
5949,0.0
5950,0.0
5951,0.0
5952,0.0
5953,0.0
5954,0.0
5955,0.0
5956,0.0
5957,0.09866
5958,0.30576
5959,0.49679
5960,0.6296
5961,0.7152000000000001
5962,0.73886
5963,0.7172200000000001
5964,0.64813
5965,0.55548
5966,0.39476
5967,0.19618
5968,0.030719999999999997
5969,0.0
5970,0.0
5971,0.0
5972,0.0
5973,0.0
5974,0.0
5975,0.0
5976,0.0
5977,0.0
5978,0.0
5979,0.0
5980,0.0
5981,0.09856999999999999
5982,0.29507
5983,0.47
5984,0.6064700000000001
5985,0.68952
5986,0.72446
5987,0.7071900000000001
5988,0.65088
5989,0.54316
5990,0.38274
5991,0.19061
5992,0.02902
5993,0.0
5994,0.0
5995,0.0
5996,0.0
5997,0.0
5998,0.0
5999,0.0
6000,0.0
6001,0.0
6002,0.0
6003,0.0
6004,0.0
6005,0.09281
6006,0.28832
6007,0.46541000000000005
6008,0.57896
6009,0.67471
6010,0.71551
6011,0.70189
6012,0.64073
6013,0.54416
6014,0.38388
6015,0.18430000000000002
6016,0.02607
6017,0.0
6018,0.0
6019,0.0
6020,0.0
6021,0.0
6022,0.0
6023,0.0
6024,0.0
6025,0.0
6026,0.0
6027,0.0
6028,0.0
6029,0.08568
6030,0.27038999999999996
6031,0.44566
6032,0.56884
6033,0.64607
6034,0.67476
6035,0.6669299999999999
6036,0.60414
6037,0.50432
6038,0.35181999999999997
6039,0.17257
6040,0.02262
6041,0.0
6042,0.0
6043,0.0
6044,0.0
6045,0.0
6046,0.0
6047,0.0
6048,0.0
6049,0.0
6050,0.0
6051,0.0
6052,0.0
6053,0.08574
6054,0.2652
6055,0.46369
6056,0.5856399999999999
6057,0.6677799999999999
6058,0.68916
6059,0.64519
6060,0.5621900000000001
6061,0.50575
6062,0.35977
6063,0.17178
6064,0.02196
6065,0.0
6066,0.0
6067,0.0
6068,0.0
6069,0.0
6070,0.0
6071,0.0
6072,0.0
6073,0.0
6074,0.0
6075,0.0
6076,0.0
6077,0.047060000000000005
6078,0.25766
6079,0.45144999999999996
6080,0.58285
6081,0.67465
6082,0.6902
6083,0.67186
6084,0.62506
6085,0.5294500000000001
6086,0.36110000000000003
6087,0.17491
6088,0.020460000000000002
6089,0.0
6090,0.0
6091,0.0
6092,0.0
6093,0.0
6094,0.0
6095,0.0
6096,0.0
6097,0.0
6098,0.0
6099,0.0
6100,0.0
6101,0.0848
6102,0.27791000000000005
6103,0.46158
6104,0.5921000000000001
6105,0.6718999999999999
6106,0.70064
6107,0.69138
6108,0.63258
6109,0.5205299999999999
6110,0.36277
6111,0.17237
6112,0.01685
6113,0.0
6114,0.0
6115,0.0
6116,0.0
6117,0.0
6118,0.0
6119,0.0
6120,0.0
6121,0.0
6122,0.0
6123,0.0
6124,0.0
6125,0.09153
6126,0.29188
6127,0.47073000000000004
6128,0.5927899999999999
6129,0.66079
6130,0.70102
6131,0.6817300000000001
6132,0.61983
6133,0.5232100000000001
6134,0.36285
6135,0.17183
6136,0.01428
6137,0.0
6138,0.0
6139,0.0
6140,0.0
6141,0.0
6142,0.0
6143,0.0
6144,0.0
6145,0.0
6146,0.0
6147,0.0
6148,0.0
6149,0.0895
6150,0.28632
6151,0.46213
6152,0.59394
6153,0.6574
6154,0.67715
6155,0.62886
6156,0.51823
6157,0.51802
6158,0.35524
6159,0.16841
6160,0.0134
6161,0.0
6162,0.0
6163,0.0
6164,0.0
6165,0.0
6166,0.0
6167,0.0
6168,0.0
6169,0.0
6170,0.0
6171,0.0
6172,0.0
6173,0.027
6174,0.12979
6175,0.46217
6176,0.36556
6177,0.26606
6178,0.54514
6179,0.33713
6180,0.05831
6181,0.21386000000000002
6182,0.09842000000000001
6183,0.05749
6184,0.01182
6185,0.0
6186,0.0
6187,0.0
6188,0.0
6189,0.0
6190,0.0
6191,0.0
6192,0.0
6193,0.0
6194,0.0
6195,0.0
6196,0.0
6197,0.08243
6198,0.27546
6199,0.44818
6200,0.58713
6201,0.66761
6202,0.694
6203,0.68471
6204,0.62617
6205,0.5094
6206,0.35042
6207,0.1613
6208,0.009789999999999998
6209,0.0
6210,0.0
6211,0.0
6212,0.0
6213,0.0
6214,0.0
6215,0.0
6216,0.0
6217,0.0
6218,0.0
6219,0.0
6220,0.0
6221,0.07922
6222,0.27557
6223,0.45527
6224,0.5932999999999999
6225,0.6718
6226,0.69055
6227,0.6787000000000001
6228,0.62367
6229,0.5111
6230,0.35524
6231,0.15924000000000002
6232,0.00853
6233,0.0
6234,0.0
6235,0.0
6236,0.0
6237,0.0
6238,0.0
6239,0.0
6240,0.0
6241,0.0
6242,0.0
6243,0.0
6244,0.0
6245,0.07546
6246,0.26925
6247,0.40316
6248,0.57948
6249,0.66727
6250,0.68802
6251,0.68722
6252,0.56787
6253,0.37542000000000003
6254,0.24534
6255,0.1416
6256,0.00285
6257,0.0
6258,0.0
6259,0.0
6260,0.0
6261,0.0
6262,0.0
6263,0.0
6264,0.0
6265,0.0
6266,0.0
6267,0.0
6268,0.0
6269,0.03656
6270,0.18081999999999998
6271,0.2104
6272,0.16563999999999998
6273,0.59199
6274,0.70893
6275,0.51867
6276,0.5500900000000001
6277,0.14264
6278,0.14443999999999999
6279,0.04284
6280,0.00337
6281,0.0
6282,0.0
6283,0.0
6284,0.0
6285,0.0
6286,0.0
6287,0.0
6288,0.0
6289,0.0
6290,0.0
6291,0.0
6292,0.0
6293,0.0593
6294,0.26099
6295,0.45887
6296,0.39382
6297,0.36146
